"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://veteranstransitionsupport.org/events/2026-05-08/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-28/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-16/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-04/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-24/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-12/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-31/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/month/2026-04/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-09/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-29/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-05/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-17/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-25/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-13/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-01/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-21/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-20/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-06/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
"https://veteranstransitionsupport.org/events/2026-05-18/","1","Non-Indexable","Canonicalised","https://veteranstransitionsupport.org/events/","","follow, index","","https://veteranstransitionsupport.org/events/page/2/","","",""
