"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/","678","125","5.424","51.096","Fairly Hard","","","","","","","","","","en-US","fbf16d04611f4a695dc97009642e1689","Indexable",""
"https://veteranstransitionsupport.org/donate/","228","51","4.471","30.129","Hard","","","","","","","","","","en-US","e108e725d23f849640a92e4953f2fac2","Indexable",""
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","280","53","5.283","30.460","Hard","","","","","","","","","","en-US","13a5be11b064db5c075ede0aa2427485","Indexable",""
"https://veteranstransitionsupport.org/about-us/","716","101","7.089","39.301","Hard","","","","","","","","","","en-US","82ccf6e6dc9a4f6ac7f9e576d0824bb","Indexable",""
"https://veteranstransitionsupport.org/no-cost-coursera/","153","34","4.500","52.420","Fairly Hard","","","","","","","","","","en-US","ab98a95866bec875b1ad812c079420d2","Indexable",""
"https://veteranstransitionsupport.org/events/","4042","825","4.899","100.000","Very Easy","","","","","","","","","","en-US","5682e7180b120c0905116214765e3fc0","Indexable",""
"https://veteranstransitionsupport.org/education-counseling/","148","29","5.103","33.598","Hard","","","","","","","","","","en-US","64dbb408b814be81b90339b7aad88776","Indexable",""
"https://veteranstransitionsupport.org/financials/","110","27","4.074","71.185","Fairly Easy","","","","","","","","","","en-US","b335866b4a5e8e9280b3233595560022","Indexable",""
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","133","30","4.433","52.854","Fairly Hard","","","","","","","","","","en-US","d884a73bca64b60e57cd6bc1355244c7","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program/","227","44","5.159","45.815","Hard","","","","","","","","","","en-US","17c7456a3642e9fbdb2fe473cfc15009","Indexable",""
"https://veteranstransitionsupport.org/veteran-resources/","814","164","4.963","47.251","Hard","","","","","","","","","","en-US","756f07f890bf5ddbb0d1207cea4f1991","Indexable",""
"https://veteranstransitionsupport.org/board-members/","43","21","2.048","33.589","Hard","","","","","","","","","","en-US","3a26da2cf92550f3f50a6ba395c7ef51","Indexable",""
"https://veteranstransitionsupport.org/donors-sponsors/","80","21","3.810","68.666","Normal","","","","","","","","","","en-US","f10f74dee8263a6a20e997c741a0dd35","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program-2/","167","34","4.912","60.512","Normal","","","","","","","","","","en-US","6c0ee41412b944511753258973d742d2","Indexable",""
"https://veteranstransitionsupport.org/va-disability-filing/","222","35","6.343","60.540","Normal","","","","","","","","","","en-US","d44652cedfba2b10901f9ec208ed95f9","Indexable",""
"https://veteranstransitionsupport.org/event/pre-discharge-va-disability-claim-prep-active-duty-zoom-may-19/","331","78","4.244","67.321","Normal","","","","","","","","","","en-US","9b52378d5838ea0e4b3ccd01f9140a92","Indexable",""
"https://veteranstransitionsupport.org/volunteer-team/","20","12","1.667","23.253","Very Hard","","","","","","","","","","en-US","894ce74b3a44d750a0ae7dac18ea0277","Indexable",""
"https://veteranstransitionsupport.org/event/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250/","266","69","3.855","69.025","Normal","","","","","","","","","","en-US","d216f63ee0b9abca5b80b27dd370632e","Indexable",""
"https://veteranstransitionsupport.org/va-home-loans/","137","22","6.227","46.752","Hard","","","","","","","","","","en-US","2a8491cf3a6701a43accb12ead351cd7","Indexable",""
"https://veteranstransitionsupport.org/testimonies/","1785","236","7.564","84.130","Easy","","","","","","","","","","en-US","491a733ca9902c06fd0e8d96e65de802","Indexable",""
"https://veteranstransitionsupport.org/vts-programs/","595","82","7.256","49.607","Hard","","","","","","","","","","en-US","d09b7bd06fe8a218929780f571ee2f39","Indexable",""
"https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","143","29","4.931","62.210","Normal","","","","","","","","","","en-US","749ea26c0fd87658e9f05a49d673d855","Indexable",""
"https://veteranstransitionsupport.org/our-instructors/","73","27","2.704","14.030","Very Hard","","","","","","","","","","en-US","93ff4c4e81e8674e92802f370d93efe6","Indexable",""
"https://veteranstransitionsupport.org/contact-us/","41","21","1.952","85.175","Easy","","","","","","","","","","en-US","be500efd6bd187ee4647626ce75e2d64","Indexable",""
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","103","45","2.289","47.632","Hard","","","","","","","","","","en-US","e5fa5e8e11b4fe0369a1800cad7f4a4c","Indexable",""
"https://veteranstransitionsupport.org/gallery/","10","7","1.429","61.565","Normal","","","","","","","","","","en-US","d0946cc65591fff4d65b8f19a8857bf6","Indexable",""
"https://veteranstransitionsupport.org/volunteer/","275","52","5.288","54.109","Fairly Hard","","","","","","","","","","en-US","394b1d511b70c06aa78f26fcd0982a8d","Indexable",""
