"Site Crawled","https://veteranstransitionsupport.org/"
"Start Date","2026-05-14"
"Start Time","12:19:36"
"Last Modified Date","2026-05-14"
"Last Modified Time","12:21:21"
"Elapsed","00:01:44"
"Report Date","2026-05-14"
"Report Time","12:22:06"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","500","100.00%","500","URLs Encountered"
"Total URLs Crawled","498","99.60%","500","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","500","URLs Encountered"
"Total External blocked by robots.txt","2","0.40%","500","URLs Encountered"
""
"URLs Displayed","500","100.00%","500","URLs Displayed"
"Total Internal URLs","439","87.80%","500","URLs Displayed"
"Total External URLs","61","12.20%","500","URLs Displayed"
"Total Internal Indexable URLs","391","78.20%","500","URLs Displayed"
"Total Internal Non-Indexable URLs","48","9.60%","500","URLs Displayed"
""
"Internal"
"All","439","100.00%","439","Internal URLs"
"HTML","92","20.96%","439","Internal URLs"
"JavaScript","23","5.24%","439","Internal URLs"
"CSS","126","28.70%","439","Internal URLs"
"Images","197","44.87%","439","Internal URLs"
"Media","0","0.00%","439","Internal URLs"
"Fonts","0","0.00%","439","Internal URLs"
"XML","0","0.00%","439","Internal URLs"
"PDF","0","0.00%","439","Internal URLs"
"Plugins","0","0.00%","439","Internal URLs"
"Other","1","0.23%","439","Internal URLs"
"Unknown","0","0.00%","439","Internal URLs"
""
"External"
"All","61","100.00%","61","External URLs"
"HTML","53","86.89%","61","External URLs"
"JavaScript","1","1.64%","61","External URLs"
"CSS","0","0.00%","61","External URLs"
"Images","0","0.00%","61","External URLs"
"Media","0","0.00%","61","External URLs"
"Fonts","0","0.00%","61","External URLs"
"XML","0","0.00%","61","External URLs"
"PDF","1","1.64%","61","External URLs"
"Plugins","0","0.00%","61","External URLs"
"Other","4","6.56%","61","External URLs"
"Unknown","2","3.28%","61","External URLs"
""
"Security"
"All","439","100.00%","439","All internal and non-HTML external URLs"
"HTTP URLs","1","0.23%","439","All internal and non-HTML external URLs"
"HTTPS URLs","438","99.77%","439","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","439","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","439","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","439","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","89","20.27%","439","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","439","All internal and non-HTML external URLs"
"Missing HSTS Header","435","99.09%","439","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","435","99.09%","439","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","434","98.86%","439","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","434","98.86%","439","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","435","99.09%","439","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","439","All internal and non-HTML external URLs"
""
"Response Codes"
"All","500","100.00%","500","All Internal & External Crawled URLs"
"Blocked by Robots.txt","2","0.40%","500","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","500","All Internal & External Crawled URLs"
"No Response","3","0.60%","500","All Internal & External Crawled URLs"
"Success (2xx)","477","95.40%","500","All Internal & External Crawled URLs"
"Redirection (3xx)","14","2.80%","500","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","500","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","500","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","500","All Internal & External Crawled URLs"
