"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://www.instagram.com/veteranstransitionsupport/","text/html; charset=""utf-8""","200","OK","1","267"
"https://www.facebook.com/veteranstransitionsupport","text/html; charset=""utf-8""","200","OK","1","267"
"https://www.linkedin.com/company/veterans-transition-support/","text/html; charset=utf-8","200","OK","1","267"
"https://www.eventbrite.com/o/veterans-transition-support-7544018039","text/html; charset=utf-8","200","OK","1","185"
"https://www.googletagmanager.com/gtag/js?id=GT-5MJKMCSH","application/javascript; charset=UTF-8","200","OK","1","0"
"https://www.googletagmanager.com/ns.html?id=GTM-54N2JWJ6","text/html; charset=UTF-8","200","OK","1","0"
"https://www.zeffy.com/en-US/donation-form/support-veterans-transition-support","text/html; charset=utf-8","200","OK","1","93"
"https://www.guidestar.org/profile/47-1391543","text/html; charset=utf-8","200","OK","1","90"
"https://www.youtube.com/channel/UC9_dpSRs9FMZy5eQBemcrEA","text/html; charset=utf-8","200","OK","1","267"
"https://greatnonprofits.org/org/veterans-transition-support","text/html; charset=utf-8","200","OK","1","89"
"https://twitter.com/supportavet","text/html; charset=utf-8","301","Moved Permanently","1","267"
"https://www.eventzilla.net/o/tricountycareeracademy","text/html; charset=utf-8","200","OK","1","178"
"https://www.eventbrite.com/organizations/events","text/html; charset=utf-8","302","FOUND","2","2"
"https://acrobat.adobe.com/id/urn:aaid:sc:us:d42e5360-aab9-4b4a-a89c-6c118dcced15","text/html","200","OK","2","1"
"https://drive.google.com/file/d/1tTDb5Z-7OpHSeZw8ekYJdh2LFl01OH7T/view?usp=sharing","text/html; charset=utf-8","200","OK","2","1"
"https://drive.google.com/file/d/1Ubc0ehyaiVdwfiF_ii5ba3NoGDl7-CAf/view?usp=sharing","text/html; charset=utf-8","200","OK","2","1"
"https://drive.google.com/file/d/12GipALJ1wNj4ulD_1Oh124g-41gtLd1o/view?usp=drive_link","text/html; charset=utf-8","200","OK","2","1"
"https://drive.google.com/file/d/1lGc_BbKaF07bX7Y5JsLgWw72I_m1Zoxw/view?usp=drive_link","text/html; charset=utf-8","200","OK","2","1"
"https://drive.google.com/file/d/18AyKrI1c10sJDkT0Q77SaFsXH3tENtLd/view?usp=drive_link","text/html; charset=utf-8","200","OK","2","1"
"https://drive.google.com/file/d/1hdhAXb6nb7pO9RRm1LUpQIN_NEMt34c2/view?usp=sharing","text/html; charset=utf-8","200","OK","2","1"
"https://drive.google.com/file/d/12AMLzANwbo6bl2-WlVER7-OUfcNvNxQN/view?usp=drive_link","text/html; charset=utf-8","200","OK","2","1"
"https://drive.google.com/file/d/1NTca40jUzlhYdVLEgYMlpJIL3G4o7Lay/view?usp=sharing","text/html; charset=utf-8","200","OK","2","1"
"https://drive.google.com/file/d/16MxIEl6Uar24hSdMdksapSwe_MZvTHL-/view?usp=sharing","text/html; charset=utf-8","200","OK","2","1"
"https://www.va.gov/education/about-gi-bill-benefits/how-to-use-benefits/work-study/","text/html","200","OK","2","2"
"http://www.coursera.org/","text/html","301","Moved Permanently","2","1"
"https://www.va.gov/service-member-benefits/","text/html","200","OK","2","1"
"http://www.dir.ca.gov/dosh/training.htm","text/html","200","OK","2","1"
"http://www.vetctap.org/","text/html","301","Moved Permanently","2","2"
"http://www.onward2opportunity.com/","text/html; charset=utf-8","301","Moved Permanently","2","1"
