"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://veteranstransitionsupport.org/","text/html; charset=UTF-8","200","OK","Indexable","","Military To Civilian Career Transition & Job Training | San Diego","65","562","Veterans Transition Support (VTS) provides military to civilian career transition support, job training, and certifications for active duty service members and veterans online and in San Diego County CA.","203","1228","","0","Empowering veterans to transition from service to civilian success through free job training, mentoring, and resources for meaningful careers","141","","0","Our Programs","12","No Cost Osha 10 Safety Training","31","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/","","","","","","278154","49540","49540","18.978","","678","125","5.424","51.096","Fairly Hard","2.138","0","0","","461","89","0","100.000","93","31","0","23","10","0","","","","","fbf16d04611f4a695dc97009642e1689","0.391","","","","","en-US","1.1","","","","","","https://veteranstransitionsupport.org/","2026-05-14 12:19:38"
"https://veteranstransitionsupport.org/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.35.1","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.110","Sat, 21 Feb 2026 08:11:16 GMT","","","","","1.1","","","","","","https://veteranstransitionsupport.org/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.35.1","2026-05-14 12:19:41"
"https://veteranstransitionsupport.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min.js?ver=6.6.4","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.354","Wed, 13 May 2026 13:27:20 GMT","","","","","1.1","","","","","","https://veteranstransitionsupport.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min.js?ver=6.6.4","2026-05-14 12:19:41"
"https://veteranstransitionsupport.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.6.4","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.311","Wed, 13 May 2026 13:27:20 GMT","","","","","1.1","","","","","","https://veteranstransitionsupport.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.6.4","2026-05-14 12:19:41"
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=1778678887&wpr_t=1778717446","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","16","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.594","Wed, 13 May 2026 13:28:08 GMT","","","","","1.1","","","","","","https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=1778678887&wpr_t=1778717446","2026-05-14 12:19:41"
"https://veteranstransitionsupport.org/donate/","text/html; charset=UTF-8","200","OK","Indexable","","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Veterans Transition Support offers military transition programs, free OSHA training, and job support to help veterans succeed in civilian life.","143","856","","0","Every Donation Helps Us Say ""Yes""","33","","0","Over 12,000 Veterans Served Since 2014","38","Invest in a Veteran's Career Transition","39","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/donate/","","","","","","225573","42421","42421","16.251","","228","51","4.471","30.129","Hard","1.382","1","1","","369","89","0","100.000","78","27","0","26","10","0","","","","","e108e725d23f849640a92e4953f2fac2","0.641","","","","","en-US","1.1","","","","","","https://veteranstransitionsupport.org/donate/","2026-05-14 12:19:41"
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","text/html; charset=UTF-8","200","OK","Indexable","","OSHA 30 Training For Veterans, Get Certified For $250","53","484","Affordable OSHA 30 training for veterans and civilians. Get certified with a federal credential in workplace safety for only $250.","130","778","","0","OSHA 30 Safety-Training For veterans","36","","0","OSHA 30 Safety-Training","23","Course Overview","15","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/osha-30-training-for-veterans/","","","","","","234698","42270","42270","16.193","","280","53","5.283","30.460","Hard","1.456","1","1","","191","89","0","100.000","78","28","0","22","10","0","","","","","13a5be11b064db5c075ede0aa2427485","0.557","","","","","en-US","1.1","","","","","","https://veteranstransitionsupport.org/osha-30-training-for-veterans/","2026-05-14 12:19:41"
"https://veteranstransitionsupport.org/about-us/","text/html; charset=UTF-8","200","OK","Indexable","","About Veterans Transition Support | Veteran Nonprofit","53","484","About Veterans Transition Support, a veteran nonprofit organization in San Diego offering training, mentorship, and military transition programs.","145","892","","0","About US","8","","0","What We Do to Support Military Transition","41","Our Mission","11","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/about-us/","","","","","","223848","42746","42746","16.375","","716","101","7.089","39.301","Hard","2.833","1","1","","280","89","0","100.000","80","29","0","22","10","0","","","","","82ccf6e6dc9a4f6ac7f9e576d0824bb","0.355","","","","","en-US","1.1","","","","","","https://veteranstransitionsupport.org/about-us/","2026-05-14 12:19:42"
"https://veteranstransitionsupport.org/no-cost-coursera/","text/html; charset=UTF-8","200","OK","Indexable","","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Access no-cost Coursera programs for veterans and gain valuable skills for career advancement.","94","596","","0","Free Coursera For A year","24","","0","Transform Your Skills, Transform Your Future","44","Why Choose This Program?","24","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/no-cost-coursera/","","","","","","219192","40943","40943","15.684","","153","34","4.500","52.420","Fairly Hard","1.097","1","1","","190","89","0","100.000","77","27","0","25","12","0","","","","","ab98a95866bec875b1ad812c079420d2","0.653","","","","","en-US","1.1","","","","","","https://veteranstransitionsupport.org/no-cost-coursera/","2026-05-14 12:19:42"
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=4.0.8","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.105","Wed, 13 May 2026 13:17:53 GMT","","","","","1.1","","","","","","https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=4.0.8","2026-05-14 12:19:43"
