"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://veteranstransitionsupport.org/","200","OK","678","0","","","Military To Civilian Career Transition & Job Training | San Diego","","Empowering veterans to transition from service to civilian success through free job training, mentoring, and resources for meaningful careers","","Veterans Transition Support (VTS) provides military to civilian career transition support, job training, and certifications for active duty service members and veterans online and in San Diego County CA.","","https://veteranstransitionsupport.org/","","89","0","31","0","10","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/","https://veteranstransitionsupport.org/","","","","",""
"https://veteranstransitionsupport.org/donate/","200","OK","228","0","","","Military Transition Programs For Veterans | VTS Nonprofit","","Every Donation Helps Us Say ""Yes""","","Veterans Transition Support offers military transition programs, free OSHA training, and job support to help veterans succeed in civilian life.","","https://veteranstransitionsupport.org/donate/","","89","0","27","0","10","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/donate/","https://veteranstransitionsupport.org/donate/","","","","",""
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","200","OK","280","0","","","OSHA 30 Training For Veterans, Get Certified For $250","","OSHA 30 Safety-Training For veterans","","Affordable OSHA 30 training for veterans and civilians. Get certified with a federal credential in workplace safety for only $250.","","https://veteranstransitionsupport.org/osha-30-training-for-veterans/","","89","0","28","0","10","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/osha-30-training-for-veterans/","https://veteranstransitionsupport.org/osha-30-training-for-veterans/","","","","",""
"https://veteranstransitionsupport.org/about-us/","200","OK","716","0","","","About Veterans Transition Support | Veteran Nonprofit","","About US","","About Veterans Transition Support, a veteran nonprofit organization in San Diego offering training, mentorship, and military transition programs.","","https://veteranstransitionsupport.org/about-us/","","89","0","29","0","10","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/about-us/","https://veteranstransitionsupport.org/about-us/","","","","",""
"https://veteranstransitionsupport.org/no-cost-coursera/","200","OK","153","0","","","Military Transition Programs For Veterans | VTS Nonprofit","","Free Coursera For A year","","Access no-cost Coursera programs for veterans and gain valuable skills for career advancement.","","https://veteranstransitionsupport.org/no-cost-coursera/","","89","0","27","0","12","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/no-cost-coursera/","https://veteranstransitionsupport.org/no-cost-coursera/","","","","",""
"https://veteranstransitionsupport.org/events/","200","OK","4042","0","","","Events for May 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","89","0","81","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/","https://veteranstransitionsupport.org/events/","","","","",""
"https://veteranstransitionsupport.org/education-counseling/","200","OK","148","0","","","Military Transition Programs For Veterans | VTS Nonprofit","","Education Counseling","","Education counseling for veterans. Get guidance on schooling, career paths, and training options.","","https://veteranstransitionsupport.org/education-counseling/","","89","0","27","0","10","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/education-counseling/","https://veteranstransitionsupport.org/education-counseling/","","","","",""
"https://veteranstransitionsupport.org/financials/","200","OK","110","0","","","Military Transition Programs For Veterans | VTS Nonprofit","","Financials","","Review our financials to see how Veterans Transition Support ensures transparency and accountability.","","https://veteranstransitionsupport.org/financials/","","89","0","27","0","19","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/financials/","https://veteranstransitionsupport.org/financials/","","","","",""
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","200","OK","133","0","","","Military Transition Programs For Veterans | VTS Nonprofit","","No Cost Lean Six Sigma Yellow belt (LSSYB)","","Earn your Lean Six Sigma Yellow Belt certification at no cost. Free training program available for veterans.","","https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","","89","0","28","0","10","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","","","","",""
"https://veteranstransitionsupport.org/va-work-study-program/","200","OK","227","0","","","Military Transition Programs For Veterans | VTS Nonprofit","","VA Work Study Program","","Learn about the VA Work-Study Program and opportunities for veterans pursuing education.","","https://veteranstransitionsupport.org/va-work-study-program/","","89","0","27","0","12","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/va-work-study-program/","https://veteranstransitionsupport.org/va-work-study-program/","","","","",""
