"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/","1","Veterans Transition Support (VTS) provides military to civilian career transition support, job training, and certifications for active duty service members and veterans online and in San Diego County CA.","203","1228","Indexable",""
"https://veteranstransitionsupport.org/donate/","1","Veterans Transition Support offers military transition programs, free OSHA training, and job support to help veterans succeed in civilian life.","143","856","Indexable",""
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","1","Affordable OSHA 30 training for veterans and civilians. Get certified with a federal credential in workplace safety for only $250.","130","778","Indexable",""
"https://veteranstransitionsupport.org/about-us/","1","About Veterans Transition Support, a veteran nonprofit organization in San Diego offering training, mentorship, and military transition programs.","145","892","Indexable",""
"https://veteranstransitionsupport.org/no-cost-coursera/","1","Access no-cost Coursera programs for veterans and gain valuable skills for career advancement.","94","596","Indexable",""
"https://veteranstransitionsupport.org/events/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Indexable",""
"https://veteranstransitionsupport.org/education-counseling/","1","Education counseling for veterans. Get guidance on schooling, career paths, and training options.","97","601","Indexable",""
"https://veteranstransitionsupport.org/financials/","1","Review our financials to see how Veterans Transition Support ensures transparency and accountability.","101","639","Indexable",""
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","1","Earn your Lean Six Sigma Yellow Belt certification at no cost. Free training program available for veterans.","108","651","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program/","1","Learn about the VA Work-Study Program and opportunities for veterans pursuing education.","88","571","Indexable",""
"https://veteranstransitionsupport.org/veteran-resources/","1","Access veteran resources including education, career support, benefits guidance, and training programs.","103","644","Indexable",""
"https://veteranstransitionsupport.org/board-members/","1","Meet the board members guiding Veterans Transition Support’s mission and leadership.","84","541","Indexable",""
"https://veteranstransitionsupport.org/donors-sponsors/","1","Meet our donors and sponsors who help make veteran programs and services possible.","82","538","Indexable",""
