"Opportunity","Number of URLs Affected","Total Size Bytes","Total Savings ms","Total Savings Size Bytes","Average Savings ms","Average Savings Size Bytes"
"Minify CSS","0","0","0","0","0","0"
"Minify JavaScript","0","0","0","0","0","0"
"Reduce Unused CSS","0","0","0","0","0","0"
"Reduce Unused JavaScript","0","0","0","0","0","0"
"Font Display","0","0","0","0","0","0"
"Improve Image Delivery","0","0","0","0","0","0"
"Legacy JavaScript","0","0","0","0","0","0"
"Preconnect Candidates","0","0","0","0","0","0"
"Render Blocking Requests","0","0","0","0","0","0"
"Use Efficient Cache Lifetimes","0","0","0","0","0","0"
"Forced Reflow","0","0","0","0","0","0"
"Duplicated JavaScript","0","0","0","0","0","0"
