"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://twitter.com/supportavet","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","267","0.303","https://x.com/supportavet","HTTP Redirect"
"https://www.eventbrite.com/organizations/events","text/html; charset=utf-8","302","FOUND","Non-Indexable","Redirected","2","1.480","https://www.eventbrite.com/login/?referrer=/organizations/events","HTTP Redirect"
"http://www.coursera.org/","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.049","https://www.coursera.org/","HTTP Redirect"
"http://www.vetctap.org/","text/html","301","Moved Permanently","Non-Indexable","Redirected","2","0.594","https://www.vetctap.org/","HTTP Redirect"
"http://www.onward2opportunity.com/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.241","https://ivmf.syracuse.edu/programs/career-training/","HTTP Redirect"
"http://www.veteranaid.org/about.php","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.219","https://www.veteranaid.org/about.php","HTTP Redirect"
"http://admissions.yale.edu/veterans","","301","Moved Permanently","Non-Indexable","Redirected","1","0.039","https://admissions.yale.edu/veterans","HTTP Redirect"
"https://www.marshall.usc.edu/mbv","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","1","0.857","https://www.marshall.usc.edu/programs/graduate-programs/specialized-masters/master-of-business-for-veterans","HTTP Redirect"
"https://www.eventbrite.com/e/165655358637","application/json","301","Moved Permanently","Non-Indexable","Redirected","1","0.992","https://www.eventbrite.com/e/no-cost-on-line-coursera-certification-courses-for-military-and-spouse-tickets-165655358637","HTTP Redirect"
"http://vets.syr.edu/employment/vctp-certification-paths/","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.038","https://vets.syr.edu/employment/vctp-certification-paths/","HTTP Redirect"
"http://www.va.gov/health/","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.550","https://www.va.gov/health/","HTTP Redirect"
"http://www.benefits.va.gov/gibill/","text/html","302","Object Moved","Non-Indexable","Redirected","1","0.582","https://benefits.va.gov/gibill/","HTTP Redirect"
"https://www.vets.gov/education/","text/html","302","Moved Temporarily","Non-Indexable","Redirected","1","0.887","https://www.va.gov/education/","HTTP Redirect"
"http://www.veteranstransitionsupport.org/","text/html","301","Moved Permanently","Non-Indexable","Redirected","16","0.532","http://veteranstransitionsupport.org/","HTTP Redirect"
