"URL","Title","Character Length","Pixel Length","Description","Character Length","Pixel Length"
"https://veteranstransitionsupport.org/","Military To Civilian Career Transition & Job Training | San Diego","65","562","Veterans Transition Support (VTS) provides military to civilian career transition support, job training, and certifications for active duty service members and veterans online and in San Diego County CA.","203","1228"
"https://veteranstransitionsupport.org/donate/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Veterans Transition Support offers military transition programs, free OSHA training, and job support to help veterans succeed in civilian life.","143","856"
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","OSHA 30 Training For Veterans, Get Certified For $250","53","484","Affordable OSHA 30 training for veterans and civilians. Get certified with a federal credential in workplace safety for only $250.","130","778"
"https://veteranstransitionsupport.org/about-us/","About Veterans Transition Support | Veteran Nonprofit","53","484","About Veterans Transition Support, a veteran nonprofit organization in San Diego offering training, mentorship, and military transition programs.","145","892"
"https://veteranstransitionsupport.org/no-cost-coursera/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Access no-cost Coursera programs for veterans and gain valuable skills for career advancement.","94","596"
"https://veteranstransitionsupport.org/events/","Events for May 2026 – Veterans Transition Support (VTS)","55","511","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/education-counseling/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Education counseling for veterans. Get guidance on schooling, career paths, and training options.","97","601"
"https://veteranstransitionsupport.org/financials/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Review our financials to see how Veterans Transition Support ensures transparency and accountability.","101","639"
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Earn your Lean Six Sigma Yellow Belt certification at no cost. Free training program available for veterans.","108","651"
"https://veteranstransitionsupport.org/va-work-study-program/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Learn about the VA Work-Study Program and opportunities for veterans pursuing education.","88","571"
"https://veteranstransitionsupport.org/veteran-resources/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Access veteran resources including education, career support, benefits guidance, and training programs.","103","644"
"https://veteranstransitionsupport.org/board-members/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Meet the board members guiding Veterans Transition Support’s mission and leadership.","84","541"
"https://veteranstransitionsupport.org/donors-sponsors/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Meet our donors and sponsors who help make veteran programs and services possible.","82","538"
"https://veteranstransitionsupport.org/va-work-study-program-2/","VA Work Study Program For Veterans","34","335","Learn about the VA Work Study Program for veterans. Get paid tax-free while gaining experience and using your education benefits.","129","810"
"https://veteranstransitionsupport.org/va-disability-filing/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Get help with VA disability filing. Learn about claims, benefits, and available veteran support.","96","569"
"https://veteranstransitionsupport.org/event/pre-discharge-va-disability-claim-prep-active-duty-zoom-may-19/","Pre-Discharge VA Disability Claim Prep (Active Duty Zoom) – May 19 - Veterans Transition Support (VTS)","102","934","Transitioning out soon? Don’t leave VA benefits on the table — understand the BDD process before you file.","106","656"
"https://veteranstransitionsupport.org/volunteer-team/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Meet our volunteer team dedicated to supporting veterans and military families.","79","490"
"https://veteranstransitionsupport.org/event/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250/","ZOOM OSHA 30-Hour Construction Safety Course MAY 18-21 2026 $250 - Veterans Transition Support (VTS)","100","963","OSHA 30-Hour Construction Industry Safety Course Live on Zoom","61","406"
"https://veteranstransitionsupport.org/va-home-loans/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Learn about VA home loans and housing assistance available to veterans and their families.","90","566"
"https://veteranstransitionsupport.org/testimonies/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Read veteran testimonials and success stories showcasing real impact from Veterans Transition Support programs.","111","715"
"https://veteranstransitionsupport.org/vts-programs/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Explore VTS programs designed to support veterans with education, training, and career transition services.","107","663"
"https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","No-cost OSHA 10 safety training for veterans. Earn your certification through approved safety courses.","102","636"
"https://veteranstransitionsupport.org/our-instructors/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Meet our instructors and learn from experienced professionals supporting veteran education and training.","104","652"
"https://veteranstransitionsupport.org/contact-us/","Contact Us For Veteran Transition Training & Vital Resources","60","542","Explore vital support for veterans transitioning to civilian careers. Contact us for guidance and resources tailored for your success.","134","803"
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","Free On-Line Coursera Certification Courses For Military And Spouse - Veterans Transition Support (VTS)","103","932","This link is the directions/ steps to getting access:","53","305"
"https://veteranstransitionsupport.org/gallery/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Browse our gallery showcasing veteran events, training programs, and community impact.","86","558"
"https://veteranstransitionsupport.org/volunteer/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Discover volunteer opportunities and help support veterans through community involvement.","89","573"
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","Lean Six Sigma Green Belt For Veterans In Transition","52","473","Lean Six Sigma Green Belt for veterans, is a 5day course made to give you hands on experience with tools used in process improvement.","133","835"
"https://veteranstransitionsupport.org/privacy-policy/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Review the Veterans Transition Support privacy policy and how your information is protected.","92","576"
"https://veteranstransitionsupport.org/events-calendar/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","View the events calendar for upcoming veteran training, workshops, and support sessions.","88","559"
"https://veteranstransitionsupport.org/osha-30-safety-training/","Military Transition Programs For Veterans | VTS Nonprofit","57","515","Veterans Transition Support offers military transition programs, free OSHA training, and job support to help veterans succeed in civilian life.","143","856"
"https://veteranstransitionsupport.org/events/2026-05-08/","Events for May 8, 2026 – Veterans Transition Support (VTS)","58","531","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-28/","Events for May 28, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-16/","Events for May 16, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-04/","Events for May 4, 2026 – Veterans Transition Support (VTS)","58","531","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","Veteran Career Transition Brief Insider Tips Jobs Resources May 4 5-7pm - Veterans Transition Support (VTS)","107","975","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","158","952"
"https://veteranstransitionsupport.org/events/2026-05-24/","Events for May 24, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-12/","Events for May 12, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","$250 OSHA 30 Hr Construction Safety | In Person ONLY May 2-3 & 9-10 2026 - Veterans Transition Support (VTS)","108","999","THIS IS A FOUR DAY CLASS May 2-3 and 9-10 2026.","47","320"
"https://veteranstransitionsupport.org/events/2026-05-31/","Events for May 31, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","May 4: Veteran Career Transition Brief – Jobs & Resources On Zoom - Veterans Transition Support (VTS)","101","932","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","158","952"
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 30 2026 - Veterans Transition Support (VTS)","108","982","LEAN Six Sigma Yellow Belt Certification – Live Online (Zoom)For Military Service Members, Veterans, Reservists, and Military Spouses","133","823"
"https://veteranstransitionsupport.org/events/month/2026-04/","Events for April 2026 – Veterans Transition Support (VTS)","57","515","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 4-8 8-5pm PST - Veterans Transition Support (VTS)","102","988","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","66","406"
"https://veteranstransitionsupport.org/events/2026-05-09/","Events for May 9, 2026 – Veterans Transition Support (VTS)","58","531","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-29/","Events for May 29, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-05/","Events for May 5, 2026 – Veterans Transition Support (VTS)","58","531","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-17/","Events for May 17, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-25/","Events for May 25, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-13/","Events for May 13, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-01/","Events for May 1, 2026 – Veterans Transition Support (VTS)","58","531","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/free-osha-10-hour-safety-training-may-02-03-san-marcos-ca/","FREE OSHA 10-Hour Safety Training |May 02-03 | San Marcos CA - Veterans Transition Support (VTS)","96","895","This OSHA 10 course is conducted IN PERSON ONLY at our San Marcos location. It is not available online in any format.","117","736"
"https://veteranstransitionsupport.org/events/2026-05-21/","Events for May 21, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt 05/30-31, 06/6-7 8-5pm PST - Veterans Transition Support (VTS)","111","1060","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","66","406"
"https://veteranstransitionsupport.org/events/2026-05-20/","Events for May 20, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","FREE OSHA Accident Investigation & Recordkeeping Course Live Zoom | May 1 - Veterans Transition Support (VTS)","109","1018","Presented by Veterans Transition Support | Live Instructor-Led Zoom Training","76","478"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-general-safety-live-instruction-04-11-12-18-19-2026/","$250 OSHA 30 Hr. General Safety Live Instruction 04/11-12 & 18-19 2026 - Veterans Transition Support (VTS)","106","968","OSHA 30-Hour General Industry Safety Training","45","294"
"https://veteranstransitionsupport.org/events/2026-05-06/","Events for May 6, 2026 – Veterans Transition Support (VTS)","58","531","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-18/","Events for May 18, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/today/","Events for May 14, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-26/","Events for May 26, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-10/","Events for May 10, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-14/","Events for May 14, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/month/2026-06/","Events for June 2026 – Veterans Transition Support (VTS)","56","518","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-02/","Events for May 2, 2026 – Veterans Transition Support (VTS)","58","531","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-22/","Events for May 22, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 30-31-JUN 6-7 8-5pmPST - Veterans Transition Support (VTS)","111","1082","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","66","406"
"https://veteranstransitionsupport.org/events/2026-04-30/","Events for April 30, 2026 – Veterans Transition Support (VTS)","61","546","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-19/","Events for May 19, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-27/","Events for May 27, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-07/","Events for May 7, 2026 – Veterans Transition Support (VTS)","58","531","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/list/","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","77","704","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-15/","Events for May 15, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 4 2026 - Veterans Transition Support (VTS)","107","971","LEAN Six Sigma Yellow Belt Certification – Live Online (Zoom)For Military Service Members, Veterans, Reservists, and Military Spouses","133","823"
"https://veteranstransitionsupport.org/events/month/","Events for May 2026 – Veterans Transition Support (VTS)","55","511","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-03/","Events for May 3, 2026 – Veterans Transition Support (VTS)","58","531","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-23/","Events for May 23, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-11/","Events for May 11, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/events/2026-05-30/","Events for May 30, 2026 – Veterans Transition Support (VTS)","59","542","Events Archive - Veterans Transition Support (VTS)","50","314"
"https://veteranstransitionsupport.org/event/may-30-veteran-career-transition-brief-jobs-resources/","May 30: Veteran Career Transition Brief – Jobs & Resources - Veterans Transition Support (VTS)","94","856","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","158","952"
"https://veteranstransitionsupport.org/organizer/veterans-transition-support-vts/","Veterans Transition Support - Veterans Transition Support (VTS)","63","574","","0","0"
"https://veteranstransitionsupport.org/venue/vts/","Veterans Transition Support - Veterans Transition Support (VTS)","63","574","","0","0"
